"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2010,11,"YA NAPOLI","Hush an Irish princess tale",0,3,0,0,1,1,2,0,0
2010,12,"YA BERRY","China garden",1,3,0,0,2,2,1,0,0
2011,1,"YA B C594C 2007","Cleopatra ruler of Egypt",3,1,0,0,2,2,1,0,0
2011,2,"YA OSA","Cuba 15 a novel",0,1,0,0,4,2,4,0,0
2011,3,"YA SUPPLEE","When Irish guys are smiling",3,4,0,0,2,2,1,0,0
2011,4,"YA LEVITIN","Escape from Egypt a novel",2,4,1,0,6,3,0,0,0
2011,5,"YA TRIANA","Cubanita",2,2,0,0,1,1,2,0,0
2011,6,"YA NAPOLI","Hush an Irish princess tale",3,4,0,0,2,1,1,0,0
2011,7,"YA OSA","Cuba 15 a novel",2,2,0,0,2,2,3,0,0
2011,8,"YA BERRY","China garden",3,1,0,0,2,3,1,0,0
2011,9,"YA SUPPLEE","When Irish guys are smiling",1,1,0,0,0,0,1,0,0
2011,10,"YA B T1532o 2010","From China to America the story of Amy Tan",1,2,0,0,1,11,1,0,0
2011,11,"YA MEYER","mark of the golden dragon being an account of the further adventures of Jacky Faber jewel of the East vexation of the West and pearl of the South China Sea",1,3,2,0,0,10,0,0,0
2011,12,"YA MEYER","mark of the golden dragon being an account of the further adventures of Jacky Faber jewel of the East vexation of the West and pearl of the South China Sea",1,2,0,0,0,8,0,0,0
2012,1,"YA LIU","great call of China",4,0,0,0,0,7,2,0,0
2012,2,"YA ALEGRIA","Sofi Mendozas guide to getting lost in Mexico",3,0,0,0,3,6,0,0,0
2012,3,"YA PENA","Mexican whiteboy",9,3,1,0,2,3,0,0,0
2012,4,"YA PENA","Mexican whiteboy",5,0,1,0,4,3,0,0,2
2012,5,"YA PENA","Mexican whiteboy",2,1,0,0,0,4,1,0,2
2012,6,"YA LESTER","Pharaohs daughter a novel of ancient Egypt",1,0,1,0,1,1,1,0,2
2012,7,"YA PENA","Mexican whiteboy",3,3,0,0,2,2,0,0,4
2012,8,"YA B T6348G 2008","TomÃ‚Â s de Torquemada architect of torture during the Spanish Inquisition",0,1,1,0,1,3,2,0,1
2012,9,"YA TOMO","Tomo friendship through fiction an anthology of Japan teen stories",3,2,3,0,1,2,1,0,1
2012,10,"YA B C4999P 2009","Cixi evil empress of China",0,0,1,0,0,4,0,0,2
2012,11,"YA NAPOLI","Hush an Irish princess tale",0,2,0,0,2,1,0,0,0
2012,12,"YA B C4999P 2009","Cixi evil empress of China",2,0,0,0,0,4,1,0,0
2013,1,"YA B C594C 2007","Cleopatra ruler of Egypt",1,2,1,0,2,6,1,0,1
2013,2,"YA B C594C 2007","Cleopatra ruler of Egypt",0,1,1,0,1,3,0,0,3
2013,3,"YA THICKER","Thicker than water coming of age stories by Irish and Irish American writers",0,3,0,0,2,2,1,0,0
2013,4,"YA NAPOLI","Hush an Irish princess tale",2,2,1,0,1,4,2,0,0
2013,5,"YA B T1532o 2010","From China to America the story of Amy Tan",0,0,1,0,1,5,2,0,0
2013,6,"YA TOMO","Tomo friendship through fiction an anthology of Japan teen stories",2,2,0,0,0,2,5,0,2
2013,7,"YA B T1532o 2010","From China to America the story of Amy Tan",2,1,4,0,0,6,2,0,1
2013,8,"YA PENA","Mexican whiteboy",3,0,0,0,0,5,2,0,1
2013,9,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",0,0,1,0,0,1,4,0,1
2013,10,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",2,0,1,0,1,4,1,0,0
2013,11,"YA NAPOLI","Hush an Irish princess tale",13,1,0,0,1,1,0,0,0
2013,12,"YA B C594N 2005","Cleopatra Egypts last pharaoh",10,1,0,0,4,0,2,0,0
2014,1,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",0,1,3,0,0,6,4,0,0
2014,2,"YA PENA","Mexican whiteboy",4,1,0,0,1,1,4,0,0
2014,3,"YA PENA","Mexican whiteboy",6,1,2,0,1,1,2,0,2
2014,4,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",2,1,0,0,1,0,2,0,2
2014,5,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",6,0,2,0,1,3,5,0,0
2014,6,"YA NAPOLI","Hush an Irish princess tale",4,1,1,0,0,2,1,0,2
2014,7,"YA B T1532o 2010","From China to America the story of Amy Tan",16,1,0,0,1,5,4,0,0
2014,8,"YA PENA","Mexican whiteboy",8,0,0,0,0,1,1,0,0
2014,9,"YA PENA","Mexican whiteboy",6,0,1,0,1,2,2,0,0
2014,10,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",12,2,0,0,0,1,2,0,0
2014,11,"YA LESTER","Pharaohs daughter a novel of ancient Egypt",2,0,1,0,1,3,2,0,0
2014,12,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",2,0,0,0,0,2,2,0,0
2015,1,"YA B C594N 2005","Cleopatra Egypts last pharaoh",5,3,0,0,1,1,1,0,0
2015,2,"YA PENA","Mexican whiteboy",3,0,0,0,1,2,1,0,0
2015,3,"YA MEYER","mark of the golden dragon being an account of the further adventures of Jacky Faber jewel of the East vexation of the West and pearl of the South China Sea",0,0,0,0,1,3,2,0,1
2015,4,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",6,2,0,0,0,2,2,0,0
2015,5,"YA B T6348G 2008","TomÃ‚Â s de Torquemada architect of torture during the Spanish Inquisition",2,0,2,0,2,1,2,0,1
2015,6,"YA PENA","Mexican whiteboy",4,4,0,0,0,1,1,0,0
2015,7,"YA TOMO","Tomo friendship through fiction an anthology of Japan teen stories",5,0,0,0,0,1,2,0,2
2015,8,"YA B T6348G 2008","TomÃ‚Â s de Torquemada architect of torture during the Spanish Inquisition",6,2,1,0,0,1,1,0,1
2015,9,"YA DELAPEN","Mexican whiteboy",5,0,0,0,1,2,4,0,0
2015,10,"YA B T6348G 2008","TomÃ‚Â s de Torquemada architect of torture during the Spanish Inquisition",3,0,2,0,0,0,2,0,0
2015,11,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",4,0,0,0,1,0,2,0,0
2015,12,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",1,0,0,0,0,1,3,0,0
2016,1,"YA B C594C 2007","Cleopatra ruler of Egypt",1,0,0,0,1,0,3,0,1
2016,2,"YA NAPOLI","Hush an Irish princess tale",4,1,1,0,0,1,1,0,0
2016,3,"YA DELAPEN","Mexican whiteboy",4,0,0,0,0,0,1,0,1
2016,4,"YA DELAPEN","Mexican whiteboy",3,0,1,0,0,0,2,0,0
2016,5,"YA DELAPEN","Mexican whiteboy",6,0,0,0,0,0,2,0,0
2016,6,"YA MEYER","mark of the golden dragon being an account of the further adventures of Jacky Faber jewel of the East vexation of the West and pearl of the South China Sea",6,1,0,0,2,2,2,0,1
2016,7,"YA PENA","Mexican whiteboy",10,1,1,0,1,0,2,0,1
2016,8,"YA PENA","Mexican whiteboy",4,2,1,0,0,1,2,0,0
2016,9,"YA B C594N 2005","Cleopatra Egypts last pharaoh",7,2,0,0,2,0,1,0,0
2016,10,"YA ENGLE","lightning dreamer Cubas greatest abolitionist",2,2,1,0,0,1,3,0,0
2016,11,"YA OSA","Cuba 15 a novel",3,0,0,0,0,0,3,0,0
2016,12,"YA DELAPEN","Mexican whiteboy",2,0,2,0,0,2,2,0,0
