cin,cout,title,deweyClass
"2008-04-22 16:00:00","2008-03-25 16:45:00","fifth generation fallacy why Japan is betting its future on artificial intelligence",006.30952
"2008-04-23 11:32:00","2008-03-25 16:45:00","fifth generation fallacy why Japan is betting its future on artificial intelligence",006.30952
"2008-04-30 18:03:00","2008-04-10 19:49:00","Artificial intelligence a modern approach",006.3
"2008-04-30 18:03:00","2008-04-30 14:43:00","fifth generation fallacy why Japan is betting its future on artificial intelligence",006.30952
"2008-05-02 13:57:00","2008-04-10 19:49:00","Artificial intelligence a modern approach",006.3
"2008-05-03 11:13:00","2008-04-10 19:49:00","Artificial intelligence a modern approach",006.3
"2008-05-05 19:32:00","2008-05-05 19:28:00","Artificial intelligence",006.3
"2008-05-06 16:30:00","2008-05-05 19:28:00","Artificial intelligence",006.3
"2008-05-07 11:32:00","2008-05-05 19:28:00","Artificial intelligence",006.3
"2008-05-13 19:39:00","2008-05-05 15:30:00","Artificial intelligence a modern approach",006.3
"2008-05-15 19:35:00","2008-05-05 15:30:00","Artificial intelligence a modern approach",006.3
"2008-05-16 11:49:00","2008-05-05 15:30:00","Artificial intelligence a modern approach",006.3
"2008-05-30 17:34:00","2008-05-06 18:17:00","Artificial intelligence",006.3
"2008-06-07 14:46:00","2008-05-18 16:18:00","Artificial intelligence a modern approach",006.3
"2008-06-09 17:04:00","2008-05-18 16:18:00","Artificial intelligence a modern approach",006.3
"2008-06-10 14:48:00","2008-05-18 16:18:00","Artificial intelligence a modern approach",006.3
"2008-06-23 15:28:00","2008-06-15 15:11:00","Artificial intelligence a modern approach",006.3
"2008-06-26 16:15:00","2008-06-15 15:11:00","Artificial intelligence a modern approach",006.3
"2008-06-30 16:59:00","2008-05-07 19:58:00","Artificial intelligence",006.3
"2008-06-30 18:32:00","2008-05-06 16:37:00","Artificial intelligence",006.3
"2008-07-08 12:30:00","2008-05-06 18:17:00","Artificial intelligence",006.3
"2008-07-10 19:32:00","2008-06-30 17:16:00","Artificial intelligence a modern approach",006.3
"2008-07-12 19:19:00","2008-06-30 17:16:00","Artificial intelligence a modern approach",006.3
"2008-07-14 12:29:00","2008-06-30 17:16:00","Artificial intelligence a modern approach",006.3
"2008-07-15 14:06:00","2006-03-31 16:03:00","Crash course in artificial intelligence and expert systems",006.3
"2008-07-16 12:05:00","2006-03-31 16:03:00","Crash course in artificial intelligence and expert systems",006.3
"2008-07-18 12:23:00","2008-05-30 12:46:00","Artificial intelligence",006.3
"2008-07-29 18:58:00","2008-07-21 19:30:00","Crash course in artificial intelligence and expert systems",006.3
"2008-08-04 17:23:00","2008-03-10 17:58:00","Prolog programming for artificial intelligence",006.30285
"2008-08-23 16:38:00","2008-07-16 13:40:00","Artificial intelligence a modern approach",006.3
"2008-08-25 13:37:00","2008-07-16 13:40:00","Artificial intelligence a modern approach",006.3
"2008-08-26 11:07:00","2008-07-16 13:40:00","Artificial intelligence a modern approach",006.3
"2008-09-03 10:54:00","2008-01-27 15:51:00","Artificial intelligence the very idea",006.3
"2008-09-06 11:59:00","2008-08-08 16:54:00","Prolog programming for artificial intelligence",006.30285
"2008-09-08 10:53:00","2008-07-16 13:40:00","Artificial intelligence a modern approach",006.3
"2008-09-09 11:15:00","2008-08-08 16:54:00","Prolog programming for artificial intelligence",006.30285
"2008-09-18 14:48:00","2008-09-18 14:27:00","Artificial intelligence a modern approach",006.3
"2008-09-20 18:52:00","2008-09-18 14:27:00","Artificial intelligence a modern approach",006.3
"2008-09-22 14:49:00","2008-09-18 14:27:00","Artificial intelligence a modern approach",006.3
"2008-09-23 12:40:00","2008-03-28 17:38:00","Mind language machine artificial intelligence in the poststructuralist age",006.3
"2008-09-23 12:52:00","2008-05-07 19:58:00","Artificial intelligence",006.3
"2008-09-23 12:52:00","2008-04-10 18:33:00","AI the tumultuous history of the search for artificial intelligence",006.309
"2008-09-25 14:07:00","2008-09-04 15:55:00","Artificial intelligence the very idea",006.3
"2008-09-30 15:20:00","2008-09-09 15:26:00","Prolog programming for artificial intelligence",006.30285
"2008-10-01 17:15:00","2008-09-09 15:26:00","Prolog programming for artificial intelligence",006.30285
"2008-10-17 12:46:00","2008-05-07 19:58:00","Artificial intelligence",006.3
"2008-10-18 16:06:00","2008-10-17 13:51:00","Artificial intelligence",006.3
"2008-10-21 13:04:00","2008-09-23 15:44:00","Artificial intelligence a modern approach",006.3
