cin,cout,title,deweyClass
"2009-06-11 10:41:00","2009-05-20 18:06:00","IT essentials II Network operating system companion guide",004.6
"2009-06-11 19:51:00","2009-05-12 18:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-06-12 10:50:00","2009-05-12 18:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-06-17 15:47:00","2009-05-20 17:27:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-06-23 12:33:00","2009-05-20 17:27:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-06-25 12:44:00","2009-05-20 18:06:00","IT essentials II Network operating system companion guide",004.6
"2009-07-01 11:00:00","2009-06-10 10:15:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-02 18:25:00","2009-05-02 16:57:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-03 10:18:00","2009-06-13 10:26:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-03 15:34:00","2009-05-02 16:57:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-07 21:25:00","2009-06-13 10:26:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-09 10:33:00","2009-06-13 10:26:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-11 21:29:00","2009-06-24 10:43:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-14 13:13:00","2009-06-24 10:43:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-23 13:04:00","2009-07-02 15:38:00","IT essentials II Network operating system companion guide",004.6
"2009-07-27 14:42:00","2009-03-02 19:40:00","UNIX for people a modular guide to the UNIX operating system visual editing document preparation other resources",001.642
"2009-07-30 12:43:00","2009-07-09 12:34:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-07-31 15:04:00","2009-07-07 15:11:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-01 11:10:00","2009-07-07 15:11:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-03 12:39:00","2009-07-09 12:34:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-04 17:59:00","2009-07-09 12:34:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-05 11:02:00","2009-07-09 12:34:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-06 19:05:00","2009-07-18 13:39:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-10 11:23:00","2009-07-18 13:39:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-10 19:49:00","2009-07-27 18:20:00","UNIX for people a modular guide to the UNIX operating system visual editing document preparation other resources",001.642
"2009-08-11 10:41:00","2009-07-18 13:39:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-19 19:29:00","2009-07-08 17:40:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-22 13:54:00","2009-07-30 18:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-08-26 08:11:00","2009-07-30 18:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-09-09 15:40:00","2009-08-07 11:31:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-09-13 12:24:00","2009-08-07 11:31:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-09-14 14:38:00","2009-08-27 12:53:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-09-19 15:09:00","2009-07-02 15:38:00","IT essentials II Network operating system companion guide",004.6
"2009-09-27 13:13:00","2009-08-16 16:47:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-09-28 13:14:00","2009-08-16 16:47:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-09-29 10:13:00","2009-08-16 16:47:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-07 14:16:00","2009-09-20 16:19:00","IT essentials II Network operating system companion guide",004.6
"2009-10-07 21:49:00","2009-09-15 15:44:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-08 11:28:00","2009-09-15 15:44:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-08 18:21:00","2009-08-08 17:48:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-09 10:33:00","2009-08-08 17:48:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-13 11:40:00","2009-09-29 12:41:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-15 10:44:00","2009-09-29 12:41:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-16 12:33:00","2009-09-29 12:41:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-10-25 14:18:00","2009-10-07 17:35:00","IT essentials II Network operating system companion guide",004.6
"2009-11-01 12:37:00","2009-09-22 14:08:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-11-10 18:46:00","2009-10-15 10:45:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-11-17 19:42:00","2009-10-20 16:12:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-11-19 12:07:00","2009-10-20 16:12:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-11-27 17:18:00","2009-11-12 17:28:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-12-02 10:48:00","2009-11-12 17:28:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-12-09 11:55:00","2009-11-18 12:32:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-12-11 11:40:00","2009-11-03 19:46:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-12-14 18:15:00","2009-11-23 17:12:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-04 17:07:00","2009-12-10 15:36:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-07 19:49:00","2009-12-10 15:36:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-08 13:12:00","2009-12-10 15:36:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-10 16:23:00","2009-12-27 14:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-11 19:06:00","2009-12-27 14:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-13 12:17:00","2009-12-27 14:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-20 11:48:00","2009-12-11 11:15:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-01-23 15:16:00","2009-12-11 11:15:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-02-02 13:11:00","2010-01-14 11:38:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-02-06 10:14:00","2010-01-14 11:38:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-02-13 16:10:00","2010-01-13 12:45:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-02-17 14:54:00","2010-01-27 13:56:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-03-07 15:37:00","2010-01-19 19:19:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
