title,Dewey,Counts,Average,Standard Dev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
smitten kitchen cookbook,0.5,1025,85.41666667,147.3643958,0,0,0,0,0,0,71,513,188,114,80,59
Everyday Italian 125 simple and delicious recipes,0.5945,1023,83.33333333,83.07973534,209,195,183,140,137,67,29,11,11,9,4,5
No reservations around the world on an empty stomach,0.013,1019,83.75,111.1968974,0,52,339,199,233,75,48,16,12,7,12,12
Vegan with a vengeance over 150 delicious cheap animal free recipes that rock,0.5636,1015,83.66666667,81.18926635,114,172,237,193,118,63,31,30,21,14,11,0
Leslie Mackies Macrina Bakery Cafe cookbook favorite breads pastries sweets savories,0.815,1014,83.75,64.21289165,160,118,155,175,126,103,59,61,40,8,0,0
Barefoot Contessa cookbook secrets from the East Hampton specialty food store for simple food and party platters you can make at home,0.5,999,82.33333333,67.55514022,200,125,137,163,137,92,35,29,21,19,19,11
Vegetable soups from Deborah Madisons kitchen,0.813,993,82.33333333,57.4872845,189,157,146,120,87,50,21,76,45,42,31,24
backyard homestead,0,982,80.25,115.8715001,0,0,0,235,359,182,67,35,33,22,14,16
Baking from my home to yours,0.815,979,80.83333333,60.40594994,38,186,148,160,130,99,58,39,24,42,26,20
food matters cookbook 500 revolutionary recipes for better living,0.3,972,78.83333333,122.3629722,0,0,0,0,122,436,127,96,79,39,30,17
Peter Reinharts Artisan breads every day fast and easy recipes for world class breads,0.815,966,79,111.0069613,0,0,0,40,385,199,78,89,56,44,41,16
Flying aprons gluten free vegan baking book,0.5638,964,78.58333333,114.5381702,0,0,0,13,343,282,94,85,53,41,18,14
new Mediterranean diet cookbook a delicious alternative for lifelong health,0.59182,962,79.75,70.6902655,0,0,0,235,172,120,65,96,59,82,75,53
Kings of pastry,0.865,939,76.75,109.6615662,0,0,0,0,0,381,132,124,114,94,50,26
French Laundry cookbook,0.50979,939,77.66666667,60.39014569,86,106,155,152,157,133,44,29,17,34,10,9
food you crave luscious recipes for a healthy life,0.5,938,77.25,113.9099525,0,0,278,325,155,74,23,30,14,13,11,4
Jamies Italy,0.5945,938,77.33333333,75.62386989,27,222,177,142,143,92,52,33,15,11,10,4
Zuni Cafe cookbook,0.50979,938,77.33333333,49.69055761,57,95,130,126,188,74,33,36,81,47,35,26
My life in France,0.5092,933,76.75,79.20069444,142,124,102,222,200,54,29,16,19,7,6,0
Not your mothers slow cooker recipes for two,0.5612,926,77.16666667,69.51890957,0,170,180,154,149,109,46,39,33,23,11,12
best light recipe a best recipe classic,0.5635,925,76.33333333,61.74483171,135,179,153,123,105,87,43,41,26,14,7,3
Dahlia Bakery cookbook sweetness in Seattle,0.815,924,77,112.3201593,0,0,0,0,0,0,45,372,178,142,103,84
platter of figs and other recipes,0.59,923,75.58333333,95.03536025,0,0,65,333,175,106,59,64,47,23,18,17
Plenty more vibrant vegetable cooking from Londons Ottolenghi,0.65,918,76.5,138.6188364,0,0,0,0,0,0,0,0,100,447,224,147
whole life nutrition cookbook whole foods recipes for personal and planetary health,0.563,917,75,81.42927774,0,0,82,197,206,186,93,86,42,8,0,0
Jamie at home cook your way to the good life,0.5,916,74.91666667,115.4662157,0,0,93,377,220,114,24,12,20,24,11,4
gourmet vegetarian slow cooker simple and sophisticated meals from around the world,0.5636,907,74,118.5909701,0,0,0,0,371,258,96,66,38,24,19,16
vegetable dishes I cant live without,0.651,904,74.25,96.69081464,0,34,349,139,124,73,41,50,32,17,18,14
perfect scoop ice creams sorbets granitas and sweet accompaniments,0.862,904,74.91666667,65.79507903,0,92,163,158,184,124,44,32,34,30,20,18
Julia Child Americas favorite chef,0.5944,896,73.91666667,63.45715567,63,84,78,178,217,85,49,49,30,25,16,13
Make it fast cook it slow the big book of everyday slow cooking,0.5884,895,72.75,142.2067157,0,0,0,56,485,208,52,33,19,10,9,1
