title,deweyClass,Counts,STD,Average,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12
South Beach diet quick and easy cookbook 200 delicious recipes ready in 30 minutes or less,641.5635,751,5.615284496,5.118055556,19,12,21,7,25,14,15,21,13,19,8,7,4,9,15,12,5,14,10,5,6,3,13,7,12,14,12,16,10,15,12,10,14,11,11,3,11,3,12,11,9,8,12,7,8,8,2,5,11,3,3,1,4,14,5,8,5,1,6,15,1,7,11,5,9,5,15,2,3,1,3,1,1,1,3,2,2,1,1,3,0,2,1,0,0,0,1,1,2,1,3,4,0,4,0,0,2,1,3,4,1,1,0,1,2,1,0,1,2,1,2,1,0,1,1,1,2,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1
Plum gratifying vegan dishes from Seattles Plum Bistro,641.5636,733,7.656902544,5.090277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,30,33,24,24,25,22,19,20,21,14,13,13,19,10,17,18,9,16,16,9,14,11,10,7,15,6,7,11,13,11,13,11,7,11,9,6,20,10,11,8,12,7,10,2,10,10,7,5,6,8,11,7,11,0
Northwest vegetarian cookbook 200 recipes that celebrate the flavors of Oregon and Washington,641.5636,730,9.5,4.958333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,34,34,20,60,28,47,35,24,23,12,13,11,11,9,6,10,6,5,9,7,7,7,5,9,5,2,5,11,4,6,9,6,5,6,4,10,6,5,6,5,3,2,6,4,4,5,3,7,0,4,2,4,3,2,3,5,1,2,1,1,1,4,3,2,3,2,3,3,1,0,3,2,3,5,3,2,0,2,0,0,0,0,2,2,0,0,4,1,1,1
Salad people and more real recipes a new cookbook for preschoolers up,641.5636,721,3.992781949,4.958333333,19,7,19,9,8,6,12,13,15,10,12,7,7,8,5,5,8,11,6,9,9,9,7,4,8,10,17,19,7,3,4,3,6,5,9,10,16,0,4,4,0,4,5,5,2,3,5,2,6,7,10,12,7,6,8,3,9,2,8,3,9,5,7,5,2,3,1,2,2,3,0,1,8,3,6,5,4,3,2,4,6,5,2,4,4,1,5,2,3,5,5,7,5,3,5,3,8,6,1,2,4,4,5,5,5,4,2,4,4,4,3,1,2,7,1,4,2,3,0,1,0,0,6,1,2,2,1,2,3,1,1,3,1,1,1,0,1,2,1,0,4,1,1,0
Garden anywhere how to grow gorgeous container gardens herb gardens kitchen gardens and more without spending a fortune,635,711,9.208624045,4.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,25,19,34,29,29,25,20,23,26,46,40,26,19,28,3,14,4,8,6,9,14,20,25,16,5,3,3,4,5,2,5,2,2,1,4,6,7,4,2,1,1,0,2,1,4,4,5,3,3,1,3,2,0,0,2,1,1,2,3,1,1,1,2,1,1,1,1,0,0,0,1,1,2,2,4,2,0,1,0,4,2,0,5,1,2,1,0,0,0,0,1,0,3,2,0,1,2,1,0,1,0,1,0
Vegan Soul kitchen fresh healthy and creative African American cuisine,641.5636,705,6.683628626,4.854166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,19,14,18,15,14,19,18,25,14,33,27,30,17,14,14,14,12,14,13,13,8,8,9,9,10,6,8,5,2,3,5,2,9,9,10,2,9,8,1,1,2,3,5,3,11,4,7,4,3,3,5,5,5,5,2,4,1,4,5,5,2,3,3,3,1,4,5,2,5,2,4,4,3,1,1,2,6,0,1,2,3,3,2,1,0,1,1,0,1,2,2,1,2,1,1,0,2,1,2,3,0,3,1,0
new Moosewood cookbook,641.5636,705,4.590913418,4.854166667,10,6,7,3,8,3,7,13,3,6,4,2,1,4,9,9,5,2,9,4,14,6,15,6,6,13,5,3,9,9,8,11,8,25,5,12,4,7,13,12,11,3,8,10,14,16,5,5,7,12,9,16,4,12,5,7,12,3,14,11,15,6,19,4,3,9,4,1,5,2,2,2,2,1,3,0,0,1,1,1,3,3,3,1,2,3,0,3,0,0,6,3,2,5,4,4,3,4,5,1,1,2,4,2,3,3,3,3,2,2,1,3,0,2,2,1,2,2,4,1,0,1,0,0,1,2,0,2,1,1,2,1,6,1,1,1,1,2,1,5,1,0,0,0
Carrots love tomatoes secrets of companion planting for successful gardening,635,704,5.774293298,4.763888889,5,3,7,0,7,4,6,4,2,2,0,0,5,0,10,1,5,6,3,3,2,2,5,3,9,7,7,8,4,18,6,10,12,6,6,6,5,7,3,33,31,18,21,16,2,12,3,7,16,18,16,13,12,10,8,8,7,1,1,6,11,16,20,18,6,6,6,3,2,4,1,2,4,5,4,6,4,1,8,5,1,2,2,2,1,5,9,4,3,4,1,2,0,0,3,0,1,5,2,4,5,2,2,3,1,0,1,0,3,5,3,1,2,4,2,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0
Starter vegetable gardens 24 no fail plans for small organic gardens,635,698,7.357580042,4.576388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,32,25,21,23,15,9,14,4,7,19,14,33,18,17,9,3,7,4,8,4,6,9,10,11,9,10,7,7,3,6,5,0,4,10,8,15,11,8,3,3,7,6,3,6,4,9,8,12,7,6,4,2,4,1,2,4,0,2,9,5,8,4,5,5,3,1,1,1,0,1,6,4,3,4,3,4,1,0,1,1,1,1,2,2,3,2,0,2,3,0,1,1,0
Vegetarian suppers from Deborah Madisons kitchen,641.5636,672,5.791940218,4.576388889,15,13,18,2,18,17,12,11,12,14,15,8,9,2,10,4,9,8,16,11,5,8,8,16,19,16,15,21,10,9,9,10,9,10,12,4,15,10,5,9,2,11,14,18,2,11,4,12,5,7,10,7,11,6,10,8,10,4,10,1,10,9,4,5,9,5,2,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
