Elements,Times,Dates,Deweys,Titles
"Solar water heaters",10:13:00,2011-04-21,696,"inexpensive solar water heater you can build"
"Solar water heaters Design and construction",10:13:00,2011-04-21,696,"integral passive solar water heater book breadboxes batchers and other types of simple solar water heaters"
"Solar water heaters Catalogs",10:13:00,2011-04-21,696,"integral passive solar water heater book breadboxes batchers and other types of simple solar water heaters"
"Indian wood carving Northwest Pacific",12:09:00,2011-04-21,731,"Lelooska the traditional art of the mask carving a transformation mask"
"Landscape gardening Water conservation",12:41:00,2011-04-21,635,"Drip irrigation for every landscape and all climates helping your garden flourish while conserving water outwit droughts with expert guidance"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",16:23:00,2011-04-21,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Triangle Shirtwaist Company Fire 1911",16:23:00,2011-04-21,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Bottled water industry",10:19:00,2011-04-22,338,"Coke machine the dirty truth behind the worlds favorite soft drink"
"Klondike River Valley Yukon Gold discoveries",10:45:00,2011-04-22,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",10:45:00,2011-04-22,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"San Francisco Earthquake and Fire Calif 1906",13:14:00,2011-04-23,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Klondike River Valley Yukon Gold discoveries Fiction",15:25:00,2011-04-23,823,"call of the wild"
"Oil wells Fires and fire prevention Kuwait",17:45:00,2011-04-23,622,"Lessons of darkness Fata morgana"
"Indian wood carving Northwest Pacific",15:21:00,2011-04-24,731,"Lelooska the traditional art of the mask carving a transformation mask"
"California Gold discoveries",12:49:00,2011-04-25,979,"California Gold Rush and the coming of the Civil War"
"Camp Fire Girls",14:52:00,2011-04-25,796,"Book of the junior hi Camp Fire Girls"
"White water canoeing Chile",14:52:00,2011-04-25,918,"Exploring horizons Divine by nature Futaleufu Chile"
"Landscape gardening Water conservation",15:57:00,2011-04-25,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"California Gold discoveries Juvenile literature",16:26:00,2011-04-25,979,"How to get rich in the California Gold Rush an adventurers guide to the fabulous riches disovered in 1848"
"California Gold discoveries",16:26:00,2011-04-25,979,"How to get rich in the California Gold Rush an adventurers guide to the fabulous riches disovered in 1848"
"California Gold discoveries Juvenile literature",16:48:00,2011-04-25,979,"California Gold Rush"
"California Gold discoveries",16:48:00,2011-04-25,979,"California Gold Rush"
"California Gold discoveries Juvenile literature",16:48:00,2011-04-25,979,"California Gold Rush"
"California Gold discoveries",16:48:00,2011-04-25,979,"California Gold Rush"
"California Gold discoveries Juvenile literature",16:48:00,2011-04-25,979,"gold rush"
"California Gold discoveries",16:48:00,2011-04-25,979,"gold rush"
"California Gold discoveries Juvenile literature",16:48:00,2011-04-25,979,"gold rush"
"California Gold discoveries",16:48:00,2011-04-25,979,"gold rush"
"Klondike River Valley Yukon Gold discoveries",17:12:00,2011-04-25,971,"Gold rush women"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",17:12:00,2011-04-25,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries",17:12:00,2011-04-25,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries",17:13:00,2011-04-25,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",17:13:00,2011-04-25,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Black Hills S D and Wyo Gold discoveries",17:41:00,2011-04-25,978,"real Deadwood true life histories of Wild Bill Hickock Calamity Jane outlaw towns and other characters of the lawless west"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",17:54:00,2011-04-25,338,"gold rush"
"Klondike River Valley Yukon Gold discoveries",17:54:00,2011-04-25,338,"gold rush"
"California Gold discoveries Juvenile literature",17:54:00,2011-04-25,338,"gold rush"
"California Gold discoveries",17:54:00,2011-04-25,338,"gold rush"
"North America Gold discoveries Juvenile literature",17:54:00,2011-04-25,338,"gold rush"
"Klondike River Valley Yukon Gold discoveries",18:37:00,2011-04-25,971,"This was Klondike fever"
"Stoves Wood Design and construction",11:36:00,2011-04-26,643,"Building a wood fired oven for bread and pizza"
"United States Gold discoveries",12:54:00,2011-04-26,622,"gold rush"
"Oil wells Fires and fire prevention Kuwait",13:16:00,2011-04-26,622,"Lessons of darkness Fata morgana"
"Black Hills S D and Wyo Gold discoveries",13:22:00,2011-04-26,978,"real Deadwood true life histories of Wild Bill Hickock Calamity Jane outlaw towns and other characters of the lawless west"
"Solar water heaters",16:29:00,2011-04-26,697,"Solar water heating a comprehensive guide to solar water and space heating systems"
"Solar water heaters Design and construction",16:29:00,2011-04-26,697,"Solar water heating a comprehensive guide to solar water and space heating systems"
"Klondike River Valley Yukon Gold discoveries Poetry",16:38:00,2011-04-26,811,"spell of the Yukon"
"Bottled water industry",17:20:00,2011-04-26,338,"Coke machine the dirty truth behind the worlds favorite soft drink"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",19:09:00,2011-04-26,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Triangle Shirtwaist Company Fire 1911",19:09:00,2011-04-26,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Triangle Shirtwaist Company Fire 1911",19:09:00,2011-04-26,974,"Triangle the fire that changed America"
"California Gold discoveries Miscellanea",19:22:00,2011-04-26,979,"Gold rush a literary exploration"
"California Gold discoveries",19:22:00,2011-04-26,979,"Days of gold the California Gold Rush and the American nation"
"California Gold discoveries",13:17:00,2011-04-27,979,"Gold fever tales from the California gold rush"
"California Gold discoveries Sources Juvenile literature",13:17:00,2011-04-27,979,"Gold fever tales from the California gold rush"
"California Gold discoveries Juvenile literature",13:17:00,2011-04-27,979,"Gold fever tales from the California gold rush"
"California Gold discoveries Juvenile literature",13:17:00,2011-04-27,979,"gold rush"
"California Gold discoveries",13:17:00,2011-04-27,979,"gold rush"
"California Gold discoveries Juvenile literature",13:18:00,2011-04-27,979,"Gold Gold from the American River"
"California Gold discoveries",13:18:00,2011-04-27,979,"Gold Gold from the American River"
"California Gold discoveries Juvenile literature",13:18:00,2011-04-27,979,"California Gold Rush"
"California Gold discoveries",13:18:00,2011-04-27,979,"California Gold Rush"
"California Gold discoveries Juvenile literature",13:18:00,2011-04-27,979,"California Gold Rush a guide to California in the 1850s"
"California Gold discoveries",13:18:00,2011-04-27,979,"California Gold Rush a guide to California in the 1850s"
"California Gold discoveries Juvenile literature",13:18:00,2011-04-27,979,"California gold rush"
"California Gold discoveries",14:12:00,2011-04-27,979,"Gold fever tales from the California gold rush"
"California Gold discoveries Sources Juvenile literature",14:12:00,2011-04-27,979,"Gold fever tales from the California gold rush"
"California Gold discoveries Juvenile literature",14:12:00,2011-04-27,979,"Gold fever tales from the California gold rush"
"California Gold discoveries",14:21:00,2011-04-27,973,"10 days that unexpectedly changed America"
"Landscape gardening Water conservation",15:26:00,2011-04-27,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"Municipal water supply",18:34:00,2011-04-27,333,"Dry run preventing the next urban water crisis"
"New York N Y Fire Dept",12:50:00,2011-04-28,974,"7 days in September"
"California Gold discoveries Juvenile films",15:11:00,2011-04-28,398,"Darlin Clementine"
"California Gold discoveries Juvenile films",15:23:00,2011-04-28,398,"Darlin Clementine"
"Triangle Shirtwaist Company Fire 1911",16:01:00,2011-04-28,974,"Triangle fire the tragedy that forever changed labor and industry"
"Landscape gardening Water conservation",17:28:00,2011-04-28,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"Solar water heaters",18:55:00,2011-04-28,697,"Solar water heating a comprehensive guide to solar water and space heating systems"
"Oil wells Fires and fire prevention Kuwait",12:22:00,2011-04-29,622,"Lessons of darkness Fata morgana"
"Rain water Water supply",13:17:00,2011-04-29,628,"Rainwater harvesting for drylands Vol 1 guiding principles to welcome rain into your life and landscape"
"White water canoeing Chile",15:48:00,2011-04-29,918,"Exploring horizons Divine by nature Futaleufu Chile"
"White water canoeing Chile",11:49:00,2011-04-30,918,"Exploring horizons Divine by nature Futaleufu Chile"
"Klondike River Valley Yukon Gold discoveries",12:00:00,2011-04-30,971,"Gold diggers striking it rich in the Klondike"
"Tlingit wood carving",14:08:00,2011-04-30,745,"How to carve a Tlingit tray"
"Tlingit wood carving",14:08:00,2011-04-30,745,"How to carve a Tlingit hat"
"Mann Gulch Fire Mont 1949",15:28:00,2011-04-30,634,"Young men fire"
"New York N Y Fire Dept",15:46:00,2011-04-30,363,"Twin towers"
"Oil industries Alberta Water supply",16:40:00,2011-04-30,628,H2Oil
"Oil pollution of water Alberta",16:40:00,2011-04-30,628,H2Oil
"Oil pollution of water Alberta Prevention",16:40:00,2011-04-30,628,H2Oil
"Bottled water industry",17:46:00,2011-04-30,338,Tapped
"Emergency water supply",17:54:00,2011-04-30,613,"Emergency food storage survival handbook everything you need to know to keep your family safe in a crisis"
"Triangle Shirtwaist Company Fire 1911",13:01:00,2011-05-01,974,"Triangle fire the tragedy that forever changed labor and industry"
"Mann Gulch Fire Mont 1949",13:25:00,2011-05-01,634,"Young men fire"
"Hot water heating",15:09:00,2011-05-01,697,"Modern hydronic heating for residential and light commercial buildings"
"Bottled water industry",15:26:00,2011-05-01,338,"Coke machine the dirty truth behind the worlds favorite soft drink"
"Landscape gardening Water conservation",15:38:00,2011-05-01,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"Triangle Shirtwaist Company Fire 1911",16:15:00,2011-05-01,974,"Triangle fire the tragedy that forever changed labor and industry"
"Oil industries Alberta Water supply",16:49:00,2011-05-01,628,H2Oil
"Oil pollution of water Alberta",16:49:00,2011-05-01,628,H2Oil
"Oil pollution of water Alberta Prevention",16:49:00,2011-05-01,628,H2Oil
"Klondike River Valley Yukon Gold discoveries",11:04:00,2011-05-02,971,"Slick as a mitten Ezra Meekers Klondike enterprise"
"Landscape gardening Water conservation",14:08:00,2011-05-02,635,"Drip irrigation for every landscape and all climates helping your garden flourish while conserving water outwit droughts with expert guidance"
"Oil industries Alberta Water supply",18:06:00,2011-05-02,628,H2Oil
"Oil pollution of water Alberta",18:06:00,2011-05-02,628,H2Oil
"Oil pollution of water Alberta Prevention",18:06:00,2011-05-02,628,H2Oil
"Klondike River Valley Yukon Gold discoveries",11:15:00,2011-05-03,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",11:15:00,2011-05-03,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"United States Gold discoveries",16:40:00,2011-05-03,622,"gold rush"
"Indian wood carving Northwest Coast of North America",17:04:00,2011-05-03,730,"Northwest carving traditions"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",17:44:00,2011-05-03,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Triangle Shirtwaist Company Fire 1911",17:44:00,2011-05-03,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",17:44:00,2011-05-03,974,"Triangle Shirtwaist Factory fire"
"Triangle Shirtwaist Company Fire 1911",17:44:00,2011-05-03,974,"Triangle Shirtwaist Factory fire"
"Triangle Shirtwaist Company Fire 1911",17:44:00,2011-05-03,974,"Triangle Shirtwaist Factory fire"
"Bottled water industry",19:33:00,2011-05-03,338,Tapped
"Hot water supply",12:02:00,2011-05-04,696,"Practical solar heating a d i y guide to solar water heating"
"Drinking water Juvenile literature",12:36:00,2011-05-04,363,"cool drink of water"
"Klondike River Valley Yukon Gold discoveries",14:36:00,2011-05-04,979,"Trail to the Klondike"
"Klondike Gold Rush National Historical Park Alaska and Wash",14:36:00,2011-05-04,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush a Historic Resource Study for the Seattle unit of the Klondike Gold Rush National Historical Park"
"Klondike River Valley Yukon Gold discoveries",14:36:00,2011-05-04,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush a Historic Resource Study for the Seattle unit of the Klondike Gold Rush National Historical Park"
"Irrigation water High Plains U S History",15:22:00,2011-05-04,553,"Ogallala blue water and life on the High Plains"
"California Gold discoveries Juvenile literature",16:03:00,2011-05-04,979,"California gold rush"
"Triangle Shirtwaist Company Fire 1911",17:03:00,2011-05-04,974,"Triangle fire the tragedy that forever changed labor and industry"
"Landscape gardening Water conservation",12:56:00,2011-05-05,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"Wildlife wood carving",18:57:00,2011-05-05,736,"Carving nature wildlife studies in wood"
"Klondike River Valley Yukon Gold discoveries",19:51:00,2011-05-05,971,"Gold diggers striking it rich in the Klondike"
"National Fire Protection Association National Electrical Code 2005",13:56:00,2011-05-07,621,"Electricians exam preparation guide based on the 2005 NEC"
"Drugstores Fires and fire prevention New York State New York History 20th century",14:22:00,2011-05-07,363,"fires how a computer formula burned down New York City and determined the future of American cities"
"New York N Y Fire Dept Appropriations and expenditures History 20th century",14:22:00,2011-05-07,363,"fires how a computer formula burned down New York City and determined the future of American cities"
"San Francisco Earthquake and Fire Calif 1906",14:40:00,2011-05-07,979,"San Francisco earthquake"
"White water canoeing North America",14:54:00,2011-05-07,797,"Whitewater adventure running Americas great scenic rivers"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",16:19:00,2011-05-07,363,"Triangle factory fire"
"Triangle Shirtwaist Company Fire 1911",16:19:00,2011-05-07,363,"Triangle factory fire"
"Landscape gardening Water conservation",16:46:00,2011-05-07,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"Oil industries Alberta Water supply",17:19:00,2011-05-07,628,H2Oil
"Oil pollution of water Alberta",17:19:00,2011-05-07,628,H2Oil
"Oil pollution of water Alberta Prevention",17:19:00,2011-05-07,628,H2Oil
"Vegetable gardening Water conservation Northwest Coast of North America",17:46:00,2011-05-07,635,"Water wise vegetables for the maritime Northwest gardener"
"Stoves Wood Design and construction",12:03:00,2011-05-08,697,"Fire places a practical design guide to fireplaces and stoves indoors and out"
"National Fire Protection Association National Electrical Code 1996",13:45:00,2011-05-08,621,"Stallcups generator transformer and motor book based on the 1996 NEC codes and standards residential commercial and industrial"
"California Gold discoveries",13:56:00,2011-05-08,979,"California gold days"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",13:56:00,2011-05-08,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries",13:56:00,2011-05-08,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",13:56:00,2011-05-08,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",13:56:00,2011-05-08,971,"Yukon gold the story of the Klondike Gold Rush"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",16:21:00,2011-05-08,974,"Triangle Shirtwaist Factory fire its legacy of labor rights"
"Triangle Shirtwaist Company Fire 1911",16:21:00,2011-05-08,974,"Triangle Shirtwaist Factory fire its legacy of labor rights"
"San Francisco Earthquake and Fire Calif 1906",12:35:00,2011-05-09,979,"San Francisco earthquake"
"United States Gold discoveries",13:11:00,2011-05-09,622,"gold rush"
"Indian wood carving Northwest Coast of North America Juvenile literature",15:04:00,2011-05-09,745,"bentwood box an activity book for kids from ages 9 12 including adult teaching guides"
"Tlingit wood carving",15:04:00,2011-05-09,745,"How to carve a Tlingit hat"
"San Francisco Earthquake and Fire Calif 1906",16:12:00,2011-05-09,979,"San Francisco earthquake"
"Landscape gardening Water conservation",16:39:00,2011-05-09,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"New York N Y Fire Dept",16:52:00,2011-05-09,974,"7 days in September"
"Bottled water industry",17:19:00,2011-05-09,338,Tapped
"United States Gold discoveries",17:41:00,2011-05-09,622,"gold rush"
"California Gold discoveries Juvenile literature",17:48:00,2011-05-09,979,"Gold Gold from the American River"
"California Gold discoveries",17:48:00,2011-05-09,979,"Gold Gold from the American River"
"San Francisco Earthquake and Fire Calif 1906",19:58:00,2011-05-09,979,"San Francisco earthquake"
"Klondike River Valley Yukon Gold discoveries",13:14:00,2011-05-10,917,"Klondike the last great gold rush 1896 1899"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",13:14:00,2011-05-10,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries",13:14:00,2011-05-10,971,"Klondike gold rush"
"Drinking water Juvenile literature",13:54:00,2011-05-10,363,"cool drink of water"
"Landscape gardening Water conservation",14:04:00,2011-05-10,635,"Drip irrigation for every landscape and all climates helping your garden flourish while conserving water"
"San Francisco Earthquake and Fire Calif 1906",15:28:00,2011-05-10,979,"San Francisco earthquake"
"Bottled water industry",16:14:00,2011-05-10,338,Tapped
"Bottled water industry",17:23:00,2011-05-10,338,"Coke machine the dirty truth behind the worlds favorite soft drink"
"Klondike River Valley Yukon Gold discoveries Fiction",18:12:00,2011-05-10,823,"call of the wild"
"Oil wells Fires and fire prevention Kuwait",19:18:00,2011-05-10,622,"Lessons of darkness Fata morgana"
"Yukon River Valley Yukon and Alaska Gold discoveries",13:20:00,2011-05-11,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Triangle Shirtwaist Company Fire 1911",16:55:00,2011-05-11,974,"Triangle fire the tragedy that forever changed labor and industry"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",11:27:00,2011-05-12,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",11:27:00,2011-05-12,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",11:28:00,2011-05-12,971,"nature of gold an environmental history of the Klondike gold rush"
"Alaska Gold discoveries",11:28:00,2011-05-12,971,"nature of gold an environmental history of the Klondike gold rush"
"Mann Gulch Fire Mont 1949",11:58:00,2011-05-12,634,"Young men fire"
"Vegetable gardening Water conservation Northwest Coast of North America",12:03:00,2011-05-12,635,"Water wise vegetables for the maritime Northwest gardener"
"Drinking water Contamination Massachusetts Woburn",13:39:00,2011-05-12,346,"civil action"
"Liability for water pollution damages Massachusetts Woburn",13:39:00,2011-05-12,346,"civil action"
"Yukon River Valley Yukon and Alaska Gold discoveries",14:21:00,2011-05-12,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Yukon River Valley Yukon and Alaska Gold discoveries",14:41:00,2011-05-12,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",14:49:00,2011-05-12,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Triangle Shirtwaist Company Fire 1911",14:49:00,2011-05-12,974,"Flesh blood so cheap the Triangle fire and its legacy"
"California Gold discoveries",15:20:00,2011-05-12,641,"California Gold Rush cooking"
"California Gold discoveries History Juvenile literature",15:20:00,2011-05-12,641,"California Gold Rush cooking"
"California Gold discoveries Juvenile literature",15:20:00,2011-05-12,641,"California Gold Rush cooking"
"California Gold discoveries Juvenile literature",16:20:00,2011-05-12,979,"Gold Gold from the American River"
"California Gold discoveries",16:20:00,2011-05-12,979,"Gold Gold from the American River"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",16:29:00,2011-05-12,917,"When a ton of gold reached Seattle"
"Klondike River Valley Yukon Gold discoveries",16:29:00,2011-05-12,917,"When a ton of gold reached Seattle"
"Mann Gulch Fire Mont 1949",17:25:00,2011-05-12,634,"Young men fire"
"Halifax Edward Frederick Lindley Wood Earl of 1881 1959",19:58:00,2011-05-12,940,"Five days in London May 1940"
"Stoves Wood Design and construction",13:05:00,2011-05-13,697,"Fire places a practical design guide to fireplaces and stoves indoors and out"
"Indian wood carving Northwest Pacific",14:30:00,2011-05-13,730,"Carving totem poles masks"
"New York N Y Fire Dept",14:48:00,2011-05-13,282,"Saint of 9 11 the true story of Father Mychal Judge"
"New York N Y Fire Department",14:48:00,2011-05-13,282,"Saint of 9 11 the true story of Father Mychal Judge"
"California Gold discoveries",15:09:00,2011-05-13,973,"10 days that unexpectedly changed America"
"Operation Stopwatch Gold Berlin Germany 1955 1956",15:18:00,2011-05-13,327,"Spies beneath Berlin"
"Bodies of water Aerial photographs",16:57:00,2011-05-13,551,Earthsong
"Yukon River Valley Yukon and Alaska Gold discoveries",12:03:00,2011-05-14,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"New York N Y Fire Dept",12:16:00,2011-05-14,282,"Saint of 9 11 the true story of Father Mychal Judge"
"New York N Y Fire Department",12:16:00,2011-05-14,282,"Saint of 9 11 the true story of Father Mychal Judge"
"United States Gold discoveries",12:23:00,2011-05-14,622,"gold rush"
"Yukon River Valley Yukon and Alaska Gold discoveries",15:32:00,2011-05-14,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Stoves Wood Design and construction",16:30:00,2011-05-14,643,"Building a wood fired oven for bread and pizza"
"Great Fire London England 1666",16:35:00,2011-05-14,942,"By permission of heaven the true story of the Great Fire of London"
"San Francisco Earthquake and Fire Calif 1906",17:43:00,2011-05-14,979,"San Francisco earthquake"
"Yukon River Valley Yukon and Alaska Gold discoveries",17:50:00,2011-05-14,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Yukon River Valley Yukon and Alaska Gold discoveries",17:58:00,2011-05-14,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",12:07:00,2011-05-15,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Triangle Shirtwaist Company Fire 1911",12:07:00,2011-05-15,974,"Flesh blood so cheap the Triangle fire and its legacy"
"Yukon River Valley Yukon and Alaska Gold discoveries",15:09:00,2011-05-15,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Black Hills S D and Wyo Gold discoveries",16:39:00,2011-05-15,978,"real Deadwood true life histories of Wild Bill Hickock Calamity Jane outlaw towns and other characters of the lawless west"
"San Francisco Earthquake and Fire Calif 1906",09:35:00,2011-05-16,979,"San Francisco earthquake"
"Yukon River Valley Yukon and Alaska Gold discoveries",10:03:00,2011-05-16,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"San Francisco Earthquake and Fire Calif 1906",11:39:00,2011-05-16,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Yukon River Valley Yukon and Alaska Gold discoveries",12:21:00,2011-05-16,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Inland water transportation Northwest Pacific History",14:09:00,2011-05-16,386,"Steamboats on Northwest rivers"
"Inland water transportation Alaska History",14:09:00,2011-05-16,386,"Steamboats on Northwest rivers"
"Shawinigan Water and Power Company History",14:48:00,2011-05-16,741,"White Rapids"
"Drinking water Contamination United States",15:15:00,2011-05-16,628,"Dont drink the water without reading this book the essential guide to our contaminated drinking water and what you can do about it"
"Drinking water Purification United States",15:15:00,2011-05-16,628,"Dont drink the water without reading this book the essential guide to our contaminated drinking water and what you can do about it"
"Oil industries Alberta Water supply",15:51:00,2011-05-16,628,H2Oil
"Oil pollution of water Alberta",15:51:00,2011-05-16,628,H2Oil
"Oil pollution of water Alberta Prevention",15:51:00,2011-05-16,628,H2Oil
"Bottled water industry",16:22:00,2011-05-16,338,"Coke machine the dirty truth behind the worlds favorite soft drink"
"Bottled water industry",17:18:00,2011-05-16,338,Tapped
"Yukon River Valley Yukon and Alaska Gold discoveries",18:20:00,2011-05-16,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Oil industries Alberta Water supply",19:15:00,2011-05-16,628,H2Oil
"Oil pollution of water Alberta",19:15:00,2011-05-16,628,H2Oil
"Oil pollution of water Alberta Prevention",19:15:00,2011-05-16,628,H2Oil
"Oil industries Alberta Water supply",12:24:00,2011-05-17,628,H2Oil
"Oil pollution of water Alberta",12:24:00,2011-05-17,628,H2Oil
"Oil pollution of water Alberta Prevention",12:24:00,2011-05-17,628,H2Oil
"Redwood Wood Ecology",13:17:00,2011-05-17,634,"redwood forest history ecology and conservation of the coast redwoods"
"Oil industries Alberta Water supply",14:16:00,2011-05-17,628,H2Oil
"Oil pollution of water Alberta",14:16:00,2011-05-17,628,H2Oil
"Oil pollution of water Alberta Prevention",14:16:00,2011-05-17,628,H2Oil
"Oil industries Alberta Water supply",14:24:00,2011-05-17,628,H2Oil
"Oil pollution of water Alberta",14:24:00,2011-05-17,628,H2Oil
"Oil pollution of water Alberta Prevention",14:24:00,2011-05-17,628,H2Oil
"Klondike Gold Rush National Historical Park Alaska and Wash",16:41:00,2011-05-17,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush a Historic Resource Study for the Seattle unit of the Klondike Gold Rush National Historical Park"
"Klondike River Valley Yukon Gold discoveries",16:41:00,2011-05-17,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush a Historic Resource Study for the Seattle unit of the Klondike Gold Rush National Historical Park"
"Rain water Water supply",16:51:00,2011-05-17,628,"Rainwater harvesting for drylands Vol 1 guiding principles to welcome rain into your life and landscape"
"Indian wood carving Northwest Pacific",17:16:00,2011-05-17,398,"Secret stories in the art of the Northwest Indian"
"California Gold discoveries History Juvenile literature",10:23:00,2011-05-18,622,"Gold Rush the young prospectors guide to striking it rich"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",10:23:00,2011-05-18,338,"gold rush"
"Klondike River Valley Yukon Gold discoveries",10:23:00,2011-05-18,338,"gold rush"
"California Gold discoveries Juvenile literature",10:23:00,2011-05-18,338,"gold rush"
"California Gold discoveries",10:23:00,2011-05-18,338,"gold rush"
"North America Gold discoveries Juvenile literature",10:23:00,2011-05-18,338,"gold rush"
"Klondike River Valley Yukon Gold discoveries",13:31:00,2011-05-18,971,"Gold diggers striking it rich in the Klondike"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",16:58:00,2011-05-18,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries",16:58:00,2011-05-18,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",16:58:00,2011-05-18,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",16:58:00,2011-05-18,971,"Yukon gold the story of the Klondike Gold Rush"
"Oil industries Alberta Water supply",17:57:00,2011-05-18,628,H2Oil
"Oil pollution of water Alberta",17:57:00,2011-05-18,628,H2Oil
"Oil pollution of water Alberta Prevention",17:57:00,2011-05-18,628,H2Oil
"Bottled water industry Social aspects",19:05:00,2011-05-18,338,"Bottlemania how water went on sale and why we bought it"
"Bottled water Social aspects",19:05:00,2011-05-18,338,"Bottlemania how water went on sale and why we bought it"
"Yukon River Valley Yukon and Alaska Gold discoveries",10:03:00,2011-05-19,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Triangle Shirtwaist Company Fire 1911",11:07:00,2011-05-19,974,"Triangle fire the tragedy that forever changed labor and industry"
"Bottled water industry",12:39:00,2011-05-19,338,"Coke machine the dirty truth behind the worlds favorite soft drink"
"Landscape gardening Water conservation",13:11:00,2011-05-19,635,"Drip irrigation for every landscape and all climates helping your garden flourish while conserving water outwit droughts with expert guidance"
"Klondike River Valley Yukon Gold discoveries",14:54:00,2011-05-19,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",14:54:00,2011-05-19,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"New York N Y Fire Dept",15:36:00,2011-05-19,282,"Saint of 9 11 the true story of Father Mychal Judge"
"New York N Y Fire Department",15:36:00,2011-05-19,282,"Saint of 9 11 the true story of Father Mychal Judge"
"Yukon River Valley Yukon and Alaska Gold discoveries",16:27:00,2011-05-19,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"California Gold discoveries",17:24:00,2011-05-19,979,"poker bride the first Chinese in the Wild West"
"California Gold discoveries",19:13:00,2011-05-19,973,"10 days that unexpectedly changed America"
