Elements,Times,Dates,Deweys,Titles
"Indian wood carving Northwest Coast of North America Juvenile literature",15:06:00,2006-01-24,745,"bentwood box an activity book for kids from ages 9 12 including adult teaching guides"
"California Gold discoveries",15:56:00,2006-01-24,979,"Gold dust"
"Klondike River Valley Yukon Gold discoveries",17:21:00,2006-01-24,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",17:21:00,2006-01-24,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",17:21:00,2006-01-24,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",17:21:00,2006-01-24,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",17:21:00,2006-01-24,971,"Mission Klondike"
"Indian wood carving Washington State Juvenile literature",19:26:00,2006-01-24,979,"People of salmon and cedar"
"San Francisco Earthquake and Fire Calif 1906",13:02:00,2006-01-25,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"Seattle Wash Fire Dept History",15:13:00,2006-01-25,725,"Seattle firehouses of the horse drawn and early motor era"
"San Francisco Earthquake and Fire Calif 1906",17:06:00,2006-01-25,979,"crack in the edge of the world America and the great California earthquake of 1906"
"California Gold discoveries",17:55:00,2006-01-25,979,"Gold the California story"
"Kwakiutl wood carving",18:57:00,2006-01-25,745,"Wooden box made by steaming and bending Kwakiutl Indians of British Columbia"
"Indian wood carving British Columbia",18:57:00,2006-01-25,745,"Wooden box made by steaming and bending Kwakiutl Indians of British Columbia"
"Animal water relationships Juvenile literature",19:54:00,2006-01-25,591,"Animals that walk on water"
"Vegetable gardening Water conservation Northwest Coast of North America",10:25:00,2006-01-26,635,"Water wise vegetables for the maritime Northwest gardener"
"San Francisco Earthquake and Fire Calif 1906",11:58:00,2006-01-26,979,"crack in the edge of the world America and the great California earthquake of 1906"
"New York N Y Fire Dept",15:05:00,2006-01-26,974,"7 days in September"
"New York N Y Fire Dept",16:28:00,2006-01-26,974,"7 days in September"
"San Francisco Earthquake and Fire Calif 1906",17:33:00,2006-01-26,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Seattle Wash Fire Dept History",11:03:00,2006-01-27,725,"Seattle firehouses of the horse drawn and early motor era"
"San Francisco Earthquake and Fire Calif 1906",12:07:00,2006-01-27,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",12:34:00,2006-01-27,979,"crack in the edge of the world America and the great California earthquake of 1906"
"White water canoeing Nepal Dudh Kosi River",13:21:00,2006-01-27,797,"Himalayan river run"
"Rain water Water supply Developing countries",14:01:00,2006-01-27,628,"Rainwater catchment systems for domestic supply design construction and implementation"
"Drinking water Contamination Massachusetts Woburn",14:09:00,2006-01-27,346,"civil action"
"Liability for water pollution damages Massachusetts Woburn",14:09:00,2006-01-27,346,"civil action"
"San Francisco Earthquake and Fire Calif 1906",14:33:00,2006-01-27,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Klondike Gold Rush National Historical Park Alaska and Wash",14:36:00,2006-01-27,917,"great parks of Alaska"
"California Gold discoveries Juvenile films",14:36:00,2006-01-27,398,"Darlin Clementine"
